2017-08-17 23:23:04 status half-installed libjson0:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 status unpacked libjson0:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 status unpacked libjson0:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2017-08-17 23:23:04 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2017-08-17 23:23:04 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2017-08-17 23:23:04 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2017-08-17 23:23:04 install libkmod2:amd64 <none> 15-0ubuntu6
2017-08-17 23:23:04 status half-installed libkmod2:amd64 15-0ubuntu6
2017-08-17 23:23:04 status unpacked libkmod2:amd64 15-0ubuntu6
2017-08-17 23:23:04 status unpacked libkmod2:amd64 15-0ubuntu6
2017-08-17 23:23:04 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-08-17 23:23:04 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-17 23:23:04 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-17 23:23:04 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-17 23:23:04 install libmount1:amd64 <none> 2.20.1-5.1ubuntu20
2017-08-17 23:23:04 status half-installed libmount1:amd64 2.20.1-5.1ubuntu20
2017-08-17 23:23:04 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2017-08-17 23:23:04 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2017-08-17 23:23:04 install libncurses5:amd64 <none> 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status half-installed libncurses5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 install libncursesw5:amd64 <none> 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status half-installed libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2017-08-17 23:23:04 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu25
2017-08-17 23:23:04 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 install libnih1:amd64 <none> 1.0.3-4ubuntu25
2017-08-17 23:23:04 status half-installed libnih1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2017-08-17 23:23:04 install libpam-modules:amd64 <none> 1.1.8-1ubuntu2
2017-08-17 23:23:04 status half-installed libpam-modules:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 install libpam-modules-bin:amd64 <none> 1.1.8-1ubuntu2
2017-08-17 23:23:05 status half-installed libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2017-08-17 23:23:05 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
